discipline,class,w,h,area,img_w,img_h
electrical,Single Receptacle,20.25,16.5,334.12,5925,5100
electrical,Duplex Receptacle,24.14,18.78,453.35,5925,5100
electrical,Duplex Receptacle,20.25,15.75,318.94,5925,5100
electrical,Duplex Receptacle,20.25,15.75,318.94,5925,5100
electrical,Duplex Receptacle,20.25,15.75,318.94,5925,5100
electrical,Duplex Receptacle,20.25,15.75,318.94,5925,5100
electrical,Duplex Receptacle,18.78,24.14,453.35,5925,5100
electrical,Duplex Receptacle,20.25,15.75,318.94,5925,5100
electrical,Duplex Receptacle,15.14,19.47,294.78,5925,5100
electrical,Duplex Receptacle,20.25,15.75,318.94,5925,5100
electrical,Double Duplex Receptacle,23.25,18.75,435.94,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Double Duplex Receptacle,22.5,18.15,408.37,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Double Duplex Receptacle,18.75,23.25,435.94,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Double Duplex Receptacle,15.12,18.75,283.5,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Junction Box,17.19,17.19,295.5,5925,5100
electrical,Junction Box,18.75,18.75,351.56,5925,5100
electrical,Junction Box,20.31,20.31,412.5,5925,5100
electrical,Electrical Wall Heater,37.0,42.0,1554.0,5925,5100
electrical,Electrical Wall Heater,37.0,42.0,1554.0,5925,5100
electrical,Disconnect Switch,25.0,18.0,450.0,5925,5100
electrical,Disconnect Switch,25.0,18.0,450.0,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Motor Connection,27.2,27.1,737.12,5925,5100
electrical,Motor Connection,27.2,27.1,737.12,5925,5100
electrical,Motor Connection,27.2,27.1,737.12,5925,5100
electrical,Auto Switch,21.49,4.98,107.02,5925,5100
electrical,Auto Switch,21.49,4.98,107.02,5925,5100
electrical,Auto Switch,21.49,4.98,107.02,5925,5100
electrical,Auto Switch,21.07,4.88,102.82,5925,5100
electrical,Auto Switch,21.08,4.89,103.08,5925,5100
electrical,Auto Switch,4.98,21.49,107.02,5925,5100
electrical,Auto Switch,18.42,18.74,345.19,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Motor Connection,27.1,27.2,737.12,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.07,18.13,327.61,5925,5100
electrical,Motor Connection,18.07,18.13,327.61,5925,5100
electrical,Motor Connection,18.07,18.13,327.61,5925,5100
electrical,Motor Connection,18.07,18.13,327.61,5925,5100
electrical,Motor Connection,18.07,18.13,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Motor Connection,18.13,18.07,327.61,5925,5100
electrical,Fan Connection,21.07,26.8,564.68,5925,5100
electrical,Fan Connection,21.07,26.8,564.68,5925,5100
electrical,Fan Connection,21.07,26.8,564.68,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Fan Connection,19.0,24.5,465.5,5925,5100
electrical,Single Receptacle,20.25,16.5,334.12,5925,5100
electrical,Duplex Receptacle,24.14,18.78,453.35,5925,5100
electrical,Duplex Receptacle,20.25,15.75,318.94,5925,5100
electrical,Duplex Receptacle,20.25,15.75,318.94,5925,5100
electrical,Duplex Receptacle,20.25,15.75,318.94,5925,5100
electrical,Duplex Receptacle,20.25,15.75,318.94,5925,5100
electrical,Duplex Receptacle,18.78,24.14,453.35,5925,5100
electrical,Duplex Receptacle,20.25,15.75,318.94,5925,5100
electrical,Duplex Receptacle,15.14,19.47,294.78,5925,5100
electrical,Duplex Receptacle,20.25,15.75,318.94,5925,5100
electrical,Double Duplex Receptacle,23.25,18.75,435.94,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Double Duplex Receptacle,22.5,18.15,408.37,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Double Duplex Receptacle,18.75,23.25,435.94,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Double Duplex Receptacle,15.12,18.75,283.5,5925,5100
electrical,Double Duplex Receptacle,19.5,15.73,306.74,5925,5100
electrical,Junction Box,17.19,17.19,295.5,5925,5100
electrical,Junction Box,18.75,18.75,351.56,5925,5100
electrical,Junction Box,20.31,20.31,412.5,5925,5100
electrical,Fire Alarm,39.17,23.5,920.5,3600,3300
electrical,Surface Mounted A,74.43,9.43,701.87,3600,3300
electrical,Surface Mounted A,75.0,9.5,712.5,3600,3300
electrical,Surface Mounted A,74.43,9.43,701.87,3600,3300
electrical,Surface Mounted A,74.43,9.43,701.87,3600,3300
electrical,Surface Mounted A,74.43,9.43,701.87,3600,3300
electrical,Surface Mounted A,74.43,9.43,701.87,3600,3300
electrical,Panel Board,13.89,32.76,455.04,3600,3300
electrical,Panel Board,32.59,13.62,443.88,3600,3300
electrical,Panel Board,32.59,13.62,443.88,3600,3300
electrical,Panel Board,13.89,32.76,455.04,3600,3300
electrical,Panel Board,13.89,32.76,455.04,3600,3300
electrical,Panel Board,13.89,32.76,455.04,3600,3300
electrical,Panel Board,32.59,13.62,443.88,3600,3300
electrical,Panel Board,32.76,13.89,455.04,3600,3300
electrical,Panel Board,32.76,13.89,455.04,3600,3300
electrical,Panel Board,32.59,13.63,444.2,3600,3300
electrical,Panel Board,13.89,32.76,455.04,3600,3300
electrical,Panel Board,32.76,13.89,455.04,3600,3300
electrical,Panel Board,32.76,13.89,455.04,3600,3300
electrical,Panel Board,32.76,13.89,455.04,3600,3300
electrical,Panel Board,32.76,13.89,455.04,3600,3300
electrical,Panel Board,32.76,13.89,455.04,3600,3300
electrical,Panel Board,32.76,13.89,455.04,3600,3300
electrical,Panel Board,13.62,32.59,443.88,3600,3300
electrical,Panel Board,13.62,32.59,443.88,3600,3300
electrical,Panel Board,13.63,32.59,444.2,3600,3300
electrical,Panel Board,13.63,32.59,444.2,3600,3300
electrical,Panel Board,13.63,32.59,444.2,3600,3300
electrical,Panel Board,32.59,13.63,444.2,3600,3300
electrical,Panel Board,13.63,32.59,444.2,3600,3300
electrical,Panel Board,13.63,32.59,444.2,3600,3300
electrical,Panel Board,32.59,13.63,444.2,3600,3300
electrical,Panel Board,13.63,32.59,444.2,3600,3300
electrical,Panel Board,32.59,13.63,444.2,3600,3300
electrical,Panel Board,13.62,32.59,443.88,3600,3300
